id	text	class_label
0	Great initiative	0
1	....This app activating ; then Blootooth all ways on position is keeping automatically.... This way phone set battery will be losing quickly.... Other wise app doesn't affecting any other problems....	1
2	I am fully supportive of this app and want it to work, however my battery was drained by 10.30AM and it stopped other apps functioning quickly. Please fix.	0
3	Once you registered in absher you cannot registered in Tawakkalna.. Sad that this is the only one that i can access my permit...	1
4	The app keeps stopping. Pls fix this I'll change my review. Update : app sudah kembali berjalan normal. Terima kasih Kemenkominfo...	2
5	Sir,this app i used two month but not disturbed now three days it's not work.all time came inside qestion mark.now i didn't go any place without this app's green code	2
6	Simple, straightforward and will help everyone. Thank you to those who provided this.	0
7	Good initiative, glad to help any way I can	0
8	Very useful.	0
9	Good	0
10	Nice	0
11	Unable to register due to date of birth, not possible to enter DOB.	2
12	Crash	2
13	App fails to recognise my phone number to send a pin code	2
14	So nice	0
15	Can you add the R rating to the app please.	1
16	Hi...this version shows 2.0.15 But sg work pass shows latest version is 2.0.8...which one is updated.my acces code shown red colour...because of this resaon.so pls let me know what different there.thanks	2
17	Happy AP I like it ðŸ‘�ðŸ‘�ðŸ‘�ðŸ‘�â�¤ï¸� thank you	0
18	Easy for senior citizens n those who are not good in.	0
19	Use too much battery life I am just at home and it had 89% since morning and only use it for 30 mins max Once its night tine and i want to play Its on 30%	1
20	Have tried once again to activate this app..once again it will not allow me to continue past the first section...I give up . It can't be too important ...no one appears to be correcting the fault ,which judging by the reviews, many others are also experiencing .	2
21	awesome	0
22	Good	0
23	very good about to our health.	0
24	This app is not work today I don't know wye	2
25	Good	0
26	App seems to work fine. All those having issue with "Invalid Phone Number" try turning your wifi on. For some reason that worked for me.	2
27	After update, daily area wise cases has been disabled under "Radius alert". Pls recheck.	2
28	Works well, does what it says on the label. I have my phones gps turned off and COVIDSafe still works so it does not care about your location and does no even ask for access. Easy to setup. Negligible battery usage does not even show in my top 10 battery users. A+++	0
29	Responsive, after changed to date of registration, it works now.	0
30	Excellent	0
31	Absolute battery killer.	1
32	Unable to install app on oppo A9. Can't be found on app store. Error says "app not available in the region".	2
33	draining battery, forced by the government with no overall results EDIT: battery drainage is not objective (actually showing 0% battery usage no matter how long since the last full recharge), but reported by many that with the app on, battery lasts way shorter time; app is also not "forced" but heavily recommended by many experts, unfortunatelly data are not used basically at all as acknowledged by govt itself	1
34	good	0
35	Everything works well with the app for contact tracing but having the option to put when you got to a place AND when you left would be good and people would probably be more likely to keep trace of that rather than putting it in the details section.	0
36	Arogya Setu nice app	0
37	Is not correct	1
38	Received OTP and has entered it. However, it keep saying wrong OTP. I have double and triple check that OTP entered correctly. Please resolve.	2
39	Despite countless feedback about battery consumption since it's inception, nothing has been done to address this problem. Stop wasting people's time by asking for details of our phone's firmware as I do not see anyone addressing the issue of battery drainage till now. Huge disappointment in this programme as well as wasting tax payers money paying for it as problems unsolved for months. If it's not ready, do not force the people into a corner to make it mandatory.	1
40	Easy to install and works to take care of you while you go on with life ...	0
41	Great initiative, east to install and register, even for a Septuagarian like me\ud83d\ude0a	0
42	Super	0
43	Great idea, but this is still a totally useless application! After ongoing issues with Bluetooth interuption, location permission issues, constant notifications of not working bla bla. Why would this not be attended to with commitment and urgency? It makes me question if this battery draining waste of memory space app was ever at all considered as a serious tracing tool considering the lack of effort put into making it functional?! I wished this worked and could help keep our community safe!	1
44	Gd	0
45	After completing of 14 days of quarantine, ehteraz app is showing yellow.Then I raised complaint to 109,issued ticket and I get call from team.ehteraz changed into green after 7days . They said it will change in 14days .But it is changed earlier.	1
46	Why are you asking the S-Pass Serial No? People waiting for S-Pass card delivery or collection are unable to register in this application. Please reply how people can register without S-Pass Serial No.	2
47	It's irritating, because you want to do the right thing - but I don't leave my Bluetooth on 24/7. Not for battery reasons but multiple different connectivity reasons. So this is super frustrating. Use my location instead of Bluetooth. \ud83d\ude02	1
48	OK thanks	0
49	Please can you help anyone. I downloaded in my phone but it was not working anymore \ud83d\ude14 I don't know why	1
50	Brilliant. Wish we had this in England Scotland & Wales. Everything you need to know is a few taps away. Easy to understand & use. Doesn't drain the battery	0
51	Fast and efficient. It gives me the result immediately.	0
52	Insane battery usage. Even when I'm sitting at home.	1
53	Very helpful app.	0
54	can't register. INVALID ID DETAILS	2
55	This app is so helpful, thumbs up for this.	0
56	cant even get past the setup page. apparently my ic is not a valid ic no. not sure who to contact about this.	2
57	Keeps turning off my music in the car when playing from my phone through Bluetooth. Please fix this bug	1
58	Good job	0
59	Great	0
60	Simple to install easy to use. do your bit and support the country getting back to normal. If you seriously think this is an affront to your civil liberties, well you better throw away your smart phone, pull out your phone line and live off-grid. I ask people to get real and consider that the means of tracking you are all around us, this app makes zero difference to that but could help us contain a second wave.	0
61	Great to be safe	0
62	i am trying to install but its saying error requesting otp try again	2
63	I live in united state and it not working	2
64	Very usefull	0
65	The app interferes with my car's bluetooth setting and I couldn't connect to Android Auto as a result :(	2
66	Simple, but works as advertised.	0
67	Used only 2% battery in 24 hours. Good privacy model in only locally storing the information and you having to manual upload the deidentified data if you test positive.	0
68	I can't not find my country in this app. Venezuela. You need add. Or someone explainme what I can do?... My Russian girlfriend has all correct, because Russia appear in the list	2
69	Good apk I am review this app my YouTube channel ER Teaching Bangla	0
70	Best app in the lockdown	0
71	Good idea but sceptical on how well it'll work time will tell.	0
72	I have installed the latest version 1.8.2. I seriously doubt this "android" version is working properly... one of my family members tested positive, and the results were being uploaded to the website. The family members using iPhones got alert updates ~2 hours later. I -after 18 hours- still no update. Get it fixed guys! Ps.I think there is a mix up of updating frequency between the statistics frame and the 'own' risk frame. The latter seems to update only once a day!!!	0
73	Would maybe give an actual review if it worked. Instead I can't even start using it - getting "internet issues" no matter of I use WiFi or mobile	2
74	As expected hard on batteries but generally works well and may save lives	0
75	Great app. Helps keep the Rona away!	0
76	Updation of data on App is sluggish!	1
77	The app is stupid as frick! First of all one shouldn't be allowed to input a false name you idiots. Secondly it is telling me "an invalid phonenumber". Do you know my number? No you don't. I know it. It is valid believe you me! Twice it happens out of 2 tries. Pretty bad!	1
78	Battery use it still quite extensive. However on a side note, if mobile network signal is bad or down, the app might not be able to connect to read and register the qr code right? Will there be a TT qr code in the app similar to the token for the personnel at the venue to scan?	1
79	It will not work unless all permissions are obtained such as "Bluetooth, Location, Camera &Storage" if any of these not allowed it will show you nothing. \u0644\u0627\u0632\u0645 \u062a\u0643\u0648\u0646 \u0639\u0627\u0637\u064a \u062a\u0635\u0631\u064a\u062d \u0644\u0644\u0628\u0644\u0648\u062a\u0648\u062b \u0648\u0627\u0644\u0644\u0648\u0643\u064a\u0634\u0646 \u0648\u0627\u0644\u0630\u0627\u0643\u0631\u0647 \u0648\u0627\u0644\u0643\u0627\u0645\u064a\u0631\u0627 \u0639\u0634\u0627\u0646 \u064a\u0634\u062a\u063a\u0644 \u0645\u0639\u0627\u0643 \u063a\u064a\u0631 \u062c\u0630\u064a\u0647 \u0628\u064a\u062a\u0645 \u0645\u0639\u0644\u0642	1
80	Good	0
81	why you Turkish guys dont deliver you services in English ? when your country is touristic and a lot of foreigners living here you don't use English as well. it is annoying.	1
82	Good \ud83d\ude42	0
83	I want to thank u all for the great work you are doing really thank u sooo much hope we get through this together thank u team Bahrain ??????????	0
84	My NRIC and birthdate is apparently wrong even though it is correct. Help.	2
85	Good	0
86	It doesn't matter if it drains ur battery u have to install it if u like it or not	1
87	I can't register. It says "network connection error"	2
88	Nice ðŸ‘�	0
89	Works fine now	0
90	Better for contact tracing using Bluetooth and live location. But drain battery fast	1
91	good app	0
92	Easy to setup and use	0
93	P40pro can't use it	2
94	Excellent app	0
95	good	0
96	Nice	0
97	Still killing my battery. Safe Entry that requires scanning totally misses the point. Already killing my battery, might as well scan my Bluetooth instead for safe entry..... No use of exposure api?	1
98	Cannot open app after latest update	2
99	Qnkit. Kumar. Good	0
100	Green box Stuck on updated 21 Oct, 02:09 no more updates....	2
101	The Pin was garbled. How to proceed? Aargh!!!	2
102	After 6 months have uninstalled, the decision to move to the untried Herald protocol was the last straw.	2
103	Love the app! Can you not integrate it with restaurants so that we don't have to write our info at each place if we have the app?	0
104	Not Working	1
105	Unable to get otp	2
106	keeps you and your family, friends safe	0
107	Continuously after requesting 5 pins all correct it states ... could not find APIKey? Allowed all permissions, what is the problem. Checked and it is version 8.0.4 installed. Please assist. Kind regards	1
108	Suggest to allow app to support older version of andriod if possible. Have a fully functional phone of 4 plus years and hoping not to change it just so I could use the QR code function.	2
109	Clean and neat as it should be	0
110	Waste	1
111	I sat in a shop for 1.5 hours and I had 300+ close contacts during this period, even though there was not that many people around and minimal traffic outside. How is this even possible? There should be better filtering else this is just providing useless data and causing inconvenience if one of these hundreds of supposed "close contacts" happen to fall sick!	1
112	It would be good if you give us detail information. The location, or something like that. And I find out so hard to update the data, always loading and nothing. Also, this morning suddenly the App close by himself, repeatedly. I couldnt update the data until now and I uninstall the app. *sigh*	1
113	Very good	0
114	Battery drain too much	1
115	Very good	0
116	Important functionality. Problem is that it is power intensive. I suggest you stop the app when you are at home.	1
117	Good	0
118	Great to see the daily results.	0
119	this perfect app during the day however it was very huge features even some android phone doesn't work i have simple samsung phone when i did download this app my phone is very hot and doesn't support. it's really use full whoever my phone doesn't support. this not only my problem huge number of people having this problem. thanks for huge help and support qatar government and qatar MOI you did really great job regarding the coivd19 pandemic i hope this circumstances reduce very soon. thanks qatar government and huge support.	0
120	To entice people to use, some form of rewards with point system or game format will help a lot.	0
121	So many time removed and again installed app. But PLEASE UPDATE YOUR APP message does not disappeared.	1
122	Very poor app... Useless	1
123	It is not intrusive for my privacy. All info is locally on my phone and I have to give permission to use it. That I would do because it is more important to keep the virus at bay and save lives then my personal privacy. I do not mind giving up info on my travels if it helps to find possible infected people or let me know if I was near an infected person so I could be quarantined until it is known if I got infected or not so I will not infect others possible even if I don't get symptoms or not. It is not because I am concerned for my own life but I am concerned that I could possibly infect people in “so-called RISK groups” that some seem to think is justifiable to sacrifice because it is too costly or even too inconvenient for those not at risk. Who are these people the “so-called RISK groups” that some think are not worth saving from Covid-19 because it is too costly or inconvenient for so many and justified as dispensable because they are “mostly” elderly or with “underlying conditions”. The so-called RISK groups, sometimes referred to as the vulnerable often “LABELED” as people with "underlying conditions" and; That includes; cancer patients, diabetes, hypertension, obesity, people on various immunosuppressant medicines for various reasons such as people that have undergone organ transplant, people with BEHCET'S disease, Crohn's disease or various other common autoimmune diseases that have to take immunosuppressant medicines and people with suppressed immune system for different reasons and group that is mostly mentioned as if that JUSTIFIES not taking radical approach the elderly (senior citizens). That is the group that is mostly mentioned by decision makers as the people with "underlying conditions" .	0
124	Good	0
125	Not work properly.	1
126	Killing the battery on my Android phone.	1
127	Great	0
128	Was notified today,11th May ,that i was near a coronavirus patient on the 27th April at a certain place and time.Am i now having to isolate even though 14 days have gone by and i have no symptoms?Why the delay in notifying me?	1
129	Why exactly the images and calls permisaions required?	1
130	Super	0
131	Worst app	1
132	Still error. the program closes itself	2
133	Cant support in redmi note 9S	2
134	Easy to register and highly unintrusive	0
135	Good	0
136	App not working.. always giving msg something went wrong try again later. Plz fix it	2
137	Nice	0
138	Good	0
139	The app now appears to be working - thanks for your kind attention! When I try to view my test results the app tells me my phone number is not registered, and to log in with a number that is not mine. How can this be, when the initial log-in required my correct phone number! Very frustrating, as we are required to use this app! What are we supposed to do? How do we get our information - to know we are well, and not contagious? This app is a big fail!	0
140	Very good	0
141	Terrible, keep telling me wrong OTP	2
142	Keeping Australia safe.	0
143	Not certainty.	1
144	The app is very commendable knowing that it tracks the safety of the residence of Qatar. But, on my phone when you open the app, it redirects to a reminder that "EHTERAZ keeps stopping". I cannot open the app. I hope this problem can be fixed. Thanks.	0
145	I cannot register because my NRIC is invalid. I reinstall the app and use NRIC date of issue. Cannot register	2
146	Tried to register for a new account but always showing 'no internet', even when I'm on both wifi and 4G. Is the outbreak over, or is something else wrong?	2
147	I download the app.but registration failed. I tried so many time	2
148	simple an safe	0
149	Safe & Accurate	0
150	Its new app..I hope it's will be helpful... I download this app	0
151	I'm unable to pass the OTP stage. It says "wrong OTP entered" even though I type in exactly what I received via SMS and within the time limit.	2
152	Nice! This is like a fast Corona test	0
153	Was easy to understand and install	0
154	Super	0
155	Good	0
156	Caused problems to my iPhone 5. Couldn't connect to internet. Restarted phone, modem, tried different wifi. Finally deleted app and internet back OK.	2
157	Every time asking update why	2
158	Crash and not open	2
159	Best	0
160	eat my battery auto shutdown thankyou	1
161	Very nice app	0
162	Good	0
163	There's no group check-in option. Understand that only android phone dont have this option. My version is 2.3.11 while my friend who is using iphone has version 2.4 with group check-in option available. When then android user be given group check-in option?	2
164	The app makes my phone gets really hot and it causes my other app to crash. Before downloading this app the phone was doing well and does not get hot so fast. Its horrible	2
165	All are doing well	0
166	Good	0
167	Useless	1
168	Constantly interfering with Bluetooth for other devices such as my Square Reader (payment terminal), solar smart charger and solar inverter. I'm having to force close the covidsafe app when taking payment from my passengers in my chauffeur (hire car) business.	1
169	Not what I'm looking for	1
170	Good	0
171	My 3rd time having to uninstall and reinstall. Trying to do my best and help towards Covid fight. App has great potential but it fails too often. Tells me tracking is off etc and it's due to its own "update"	1
172	Eats up the battery	1
173	Good	0
174	Like this app for covid information	0
175	Huawei app don't have this	2
176	It works as intended. Without collecting and storing unnecessary data	0
177	This will be very helpful in times of emergency. Very good idea. Two thumbs up!	0
178	Good	0
179	definitely battery hog app, also the notification is always there even after app closed, it is kind of annoying in term of UI/UX please add mapping radius of infected area/person, we can not know where we have to move out so safety if we don't know their location	1
180	Sorry, I like the app :)	1
181	Uses way too much battery for the function it is trying to achieve. Awarding 1 Star for effort, 0 stars for the app. The app is so bad at battery efficiency even after so many months since it's original release, it makes one kind of look forward to carrying the turd of a trace together device instead.	1
182	Unfortunately SMS verification doesn't work outside Turkey, I'm trying from Belarus. This is preventing me from buying airplane tickets. Hope it can be resolved in short time.	2
183	Not great, I downloaded this app and still have the virus despite using the app?? And additionally I've been injecting disinfectant so I'm doing everything right.	1
184	What, this scans constantly with bluetooth nearby phones, sucks battery like crazy. This should been done server based with data connection.	1
185	Can't able to log in with my work permit fin number and name is showing wrong always why like this can reply me please	2
186	Not opening in huawei y9	0
187	Good	0
188	Very good work	0
189	Its involved on our own privacy	1
190	When is next app updates for Android users? Would appreciate to have this particular feature which is similar to Singpass which allows to add family members in TraceTogether. This will help to reduce the no. of ppl collecting the physic token.	0
191	Ok ðŸ‘Œ	0
192	Not good app cannot register make it compatible to all android even 5.0.1 version do something.or youll making problem to those low version.its crisis and mandatory to download how can we buy a mobile again just to download this app. Fix this app	1
193	It's not showing my test results, even if I did the test.	1
194	I think it drains my battery ?? not good even when I am not using my phone I am thinking it is this app. It may or may not do this to your phone but if it does I would recommend that you delete the app and try and download it again. ??????	1
195	The app keeps telling that 'exceeded code of activation'. What does this mean? What should I do?	2
196	App won’t even allow me to log on, even after multiple attempts. App will either not resend login authentication code, or refuses to accept the code that it sent! WHY AM I REQUIRED TO USE AN APP THAT IS COMPLETELY UNWORKABLE?	2
197	Great initiative , everyone should do sign up to this and do our bit.	0
198	Takes a lot of battery	1
199	Secondary school students without NRIC are not able to create a profile. The school has asked the students to install but because of the new update it cannot be used by them.	2
200	Useful Apps For COVID19 info in Pakistan	0
201	good	0
202	Gud One	0
203	Useless	1
204	Hi there. I understand that the app need to be running in the background. However, I feel that the app is draining excessive power from my phone. Please take a look at this issue and fix it soon but good work on trying to curb the spread using the app.	1
205	Good initiative. We have to make it better using the app. Contact tracing is a must for fighting against corona. So thanks for the good job.	0
206	Its very usefull apps. For. Covid 19 udate	0
207	Safe people life.	0
208	So simple to install and register my 80 year old parents could even do it by themselves	0
209	Couldn't really tell if it worked, plus drained my phone battery day after day so uninstalled	2
210	Can't get past phone number entry. Stuck on another county. Same result for all my family too	2
211	Was working fine for a while until I realised how quickly it was draining my battery. Easily using 25%+ of my battery each charge in only a few hours	1
212	Easy to install. Nicely bilingual. Weekly(?) reminders it is running are a nice touch.	0
213	Glad to hear contacts have been discovered through the app and it is showing value. The weekend where Google's Play Services update started to cause the app to quickly drain batteries was not fun but it was fixed quickly and has worked perfectly again since.	0
214	Good	0
215	Love you	0
216	good apps	0
217	Nice	0
218	Good	0
219	This too much problem for this mobile charge very fast down	1
220	good apps.	0
221	Very helpful all the staff	0
222	Op	1
223	Bluetooth retards or jams mobile system. Please don't use anything bluetooth. I must turn it off in order to resume mobile phone's functionality.	2
224	STRUCTUREDOOIOZSAQWWWW	2
225	After my results apps automaticaly loging out and want to start from the begining	2
226	Very use full to those who knows how to use.	0
227	Deleted due to overheating my phone and causing the battery to drain. Phone still overheating now due to the effect of the app. Will not be redownloading even when bugs are fixed.	1
228	This application is the best for knowing the updates of news around the world specially about COVID-19 each and every detail.	0
229	More essential	0
230	Unable to sign up as it seems to be a bug in the app. User cannot be able to add nationality while sign up.	2
231	Nnnice	0
232	Number invalid - turn off WiFi. Follows other's advice on forums and turned off WiFi and Bluetooth while putting in phone number and requesting PIN. Finally worked but help page needs advice like this so users can get it functional. The notification bar is super annoying and realistically it needs an option for when you are at home so it doesn't have to be running	2
233	This best device arlet application	0
234	Good and very easy to use	0
235	Nice	0
236	Does not work	1
237	Useless app depending on bluetooth ,not reliable	1
238	Why does this (?) keep showing?? I tried to update the app several times, I tried rebooting my phone as well but in vain! I wasn't allowed to go in many places because of this issue.. What do I do, please someone help!	2
239	Only in 1 language ??	2
240	Take long time to download	2
241	Simple. Done. Very happy. Ignore the 1 star reviews from those silly people who downloaded before 6pm.	0
242	Now it is working it needs to be on the home screen	0
243	Good thanks	0
244	After downloading, opening 1st page r on n on.. Unable to open anything..	1
245	It will not accept my pin number	2
246	Unable to validate NRIC details even though the input was correct.	2
247	It is wonderful app....	0
248	It stops working; turns itself off! \ud83e\udd2c	1
249	Khushal	1
250	QR scanner doesn't read	2
251	The app uses way too much battery life.	1
252	Good app	0
253	It gave me just 3 minutes for suppliers. Now I need a permission for walking, how can I apply for it?.	1
254	Falthu appp	1
255	All good team, happy to help, my data is available when you need it, and appreciate you asking in bold print. let's face google and Apple have it and hide the request in 1000000 words of 2 font terms and conditions. Go Gov just please bring back the footy Ffs	0
256	Good	0
257	Good	0
258	Extremely battery drain	1
259	Drains the battery very quicky and slows down all the other functions	1
260	Very Helpful application.?	0
261	Very helpful	0
262	Amazing	0
263	Cant even get otp	2
264	[Samsung S10e] Unfortunately the app causes the battery to drain extremely quickly such that I am having to charge several times a day (previously a day's usage would drop my phone to about 20%). I've made sure to update to the latest version in the hopes it will help...	1
265	Rather pointless if you're going to allow mass congregations in the name of protest. Uninstalled, and noted.	1
266	Very helpful App every thing you need for emergency transports is here Thanks	0
267	This app is bs, add mobile number says that it is invalid. How ridiculous and unhelpful in ever way. No point giving any rating when you can't pass step 2 because the design flaws. But to post this i have to give a star. Really it's worth 0 stars straight out honestly.	2
